j	n_j
1339	1
1340	1
1342	2
1343	4
1344	1
1346	2
1347	1
1348	1
1349	1
1350	3
1351	3
1352	1
1355	6
1356	2
1357	2
1359	2
1361	1
1362	1
1363	5
1364	1
1366	2
1368	1
1369	1
1371	2
1372	2
1373	2
1374	2
1375	1
1376	2
1377	3
1378	2
1379	3
1380	1
1381	3
1382	3
1385	2
1386	3
1387	1
1388	1
1389	2
1390	3
1391	2
1392	1
1394	4
1395	2
1396	1
1397	2
1399	1
1400	2
1402	1
1403	2
1404	1
1405	1
1407	1
1408	4
1410	2
1412	1
1413	1
1414	1
1415	1
1417	3
1418	2
1419	2
1420	2
1423	6
1425	4
1426	1
1429	3
1430	3
1432	3
1433	2
1435	1
1436	3
1437	2
1438	3
1439	3
1440	2
1441	5
1442	2
1443	4
1444	2
1445	2
1446	1
1447	1
1448	1
1449	5
1450	3
1451	1
1452	1
1453	1
1454	2
1456	4
1457	2
1458	4
1459	4
1460	4
1461	5
1462	2
1464	2
1465	5
1466	4
1467	2
1468	4
1469	2
1470	3
1472	1
1473	2
1474	2
1475	2
1476	2
1478	2
1479	2
1480	2
1481	1
1482	2
1483	5
1484	4
1485	2
1486	2
1487	1
1488	1
1489	3
1491	1
1492	5
1494	2
1495	2
1496	1
1498	1
1499	4
1500	2
1501	1
1502	3
1503	1
1504	1
1505	1
1506	2
1508	3
1510	1
1511	3
1512	1
1515	3
1516	2
1517	1
1519	2
1520	1
1521	5
1523	1
1524	3
1525	1
1527	2
1528	1
1529	3
1531	2
1532	1
1533	2
1534	1
1536	1
1537	4
1538	3
1540	4
1541	2
1542	1
1543	1
1544	2
1545	1
1546	1
1548	5
1549	3
1550	3
1551	2
1553	2
1554	1
1555	1
1556	2
1557	2
1559	2
1560	1
1561	3
1562	2
1563	3
1564	2
1565	1
1566	3
1568	1
1569	2
1570	3
1571	1
1573	2
1575	1
1576	3
1577	1
1579	3
1580	2
1581	3
1582	3
1583	4
1584	2
1585	3
1586	2
1588	1
1589	1
1590	4
1591	2
1592	1
1593	5
1594	1
1595	3
1596	3
1597	4
1598	7
1600	5
1602	6
1603	2
1604	4
1607	1
1608	4
1609	3
1610	2
1612	3
1613	3
1614	1
1615	1
1616	1
1619	4
1624	3
1625	2
1626	1
1627	2
1630	1
1632	3
1634	4
1635	2
1637	1
1638	2
1639	3
1640	1
1641	1
1644	2
1645	3
1646	2
1647	1
1648	3
1649	1
1651	2
1652	1
1653	1
1654	4
1655	2
1656	2
1658	2
1659	3
1660	2
1661	3
1662	1
1663	2
1665	2
1666	1
1668	2
1669	3
1673	1
1674	2
1675	1
1677	1
1678	1
1679	1
1680	1
1682	1
1683	1
1684	3
1685	2
1686	2
1687	3
1688	3
1689	3
1690	1
1691	2
1692	2
1694	1
1698	1
1699	1
1700	1
1701	2
1703	1
1704	1
1705	2
1706	3
1707	1
1712	1
1715	3
1716	3
1717	1
1718	1
1723	1
1725	1
1727	1
1728	1
1730	1
1736	1
1740	1
1744	1
1745	1
1751	1
1752	1
1755	1
1756	2
1757	1
1758	1
1760	1
1761	1
1763	1
1769	1
1772	1
1775	1
1777	3
1779	1
1780	1
1782	1
1784	2
1786	1
1787	1
1788	1
1790	1
1792	1
1798	3
1800	1
1804	2
1806	1
1813	1
1818	1
1820	3
1821	2
1826	1
1827	4
1829	1
1837	1
1839	1
1840	2
1843	1
1845	2
1847	3
1848	2
1849	1
1850	1
1852	4
1853	1
1854	2
1855	1
1857	2
1858	1
1861	2
1862	3
1863	1
1864	2
1866	1
1867	3
1870	1
1871	4
1872	1
1877	5
1878	2
1879	2
1880	1
1881	1
1882	1
1883	1
1884	1
1885	4
1887	3
1888	1
1889	1
1890	3
1891	2
1892	2
1893	1
1894	1
1895	1
1897	1
1898	2
1904	1
1906	3
1907	1
1908	2
1909	2
1910	1
1911	2
1912	2
1914	2
1916	1
1917	1
1918	2
1919	2
1920	4
1921	1
1922	3
1924	1
1925	2
1926	2
1927	1
1928	1
1929	1
1932	1
1933	2
1935	1
1937	1
1938	2
1939	2
1941	1
1942	1
1943	1
1945	1
1946	5
1947	2
1948	2
1950	1
1951	1
1952	1
1956	2
1958	2
1959	2
1960	2
1961	1
1963	2
1964	1
1965	2
1966	1
1967	1
1968	1
1970	1
1971	1
1975	1
1976	1
1979	1
1980	2
1981	3
1982	2
1992	3
1994	3
1995	1
1996	1
1997	1
2002	1
2005	1
2008	2
2012	1
2018	1
2021	1
2022	1
2024	1
2026	1
2027	1
2031	1
2034	1
2035	1
2036	2
2038	1
2039	1
2041	1
2046	2
2047	1
2049	1
2053	1
2059	2
2064	1
2073	1
2075	2
2079	1
2080	2
2082	2
2083	2
2085	1
2086	4
2088	4
2091	1
2096	1
2098	1
2099	2
2100	1
2101	1
2104	1
2105	1
2108	2
2112	1
2113	2
2116	2
2117	1
2119	3
2120	1
2121	1
2122	2
2123	2
2125	1
2126	2
2127	1
2129	1
2131	1
2135	2
2141	1
2143	1
2148	1
2152	1
2159	1
2169	1
2172	1
2173	1
2181	1
2185	1
2189	1
2190	1
2193	1
2194	1
2205	1
2206	1
2213	1
2215	1
2223	1
2228	1
2232	1
2235	1
2237	1
2238	1
2242	1
2249	1
2263	1
2265	1
2267	1
2268	1
2273	1
2274	1
2277	1
2279	1
2285	1
2286	1
2291	1
2298	1
2307	1
2311	1
2313	2
2321	1
2332	1
2336	1
2340	1
2343	1
2352	1
2361	1
2362	1
2364	1
2375	1
2380	1
2389	1
2390	2
2391	1
2400	1
2412	2
2414	1
2415	1
2419	1
2420	1
2421	2
2424	1
2430	1
2439	1
2443	1
2459	1
2461	1
2464	2
2470	1
2473	1
2476	1
2480	1
2490	1
2491	1
2498	1
2502	1
2504	2
2510	1
2515	1
2522	1
2532	1
2533	1
2535	1
2537	2
2543	1
2544	1
2554	1
2555	1
2561	1
2563	1
2566	1
2567	1
2571	1
2573	1
2580	1
2583	1
2586	1
2590	1
2595	1
2599	1
2601	1
2609	2
2614	1
2616	1
2623	1
2625	1
2627	1
2628	1
2632	1
2633	1
2635	1
2638	1
2640	1
2644	1
2649	1
2650	2
2652	1
2653	2
2654	1
2656	1
2657	1
2659	1
2661	2
2664	1
2666	1
2667	1
2673	2
2675	1
2677	2
2678	1
2679	1
2680	1
2683	2
2688	1
2692	1
2696	1
2699	2
2701	1
2704	1
2705	1
2707	1
2709	1
2710	1
2711	1
2713	1
2718	1
2720	1
2743	1
2746	1
2754	1
2761	1
2763	1
2764	1
2765	1
2767	1
2769	1
2771	1
2773	2
2775	1
2776	1
2781	3
2783	1
2786	1
2788	1
2790	1
2793	1
2802	1
2805	1
2806	1
2808	1
2815	2
2817	1
2824	1
2827	1
2833	1
2834	1
2836	1
2838	1
2842	1
2846	1
2847	1
2850	1
2851	1
2853	1
2854	1
2856	1
2857	1
2860	1
2863	1
2865	1
2866	1
2868	1
2869	1
2872	1
2873	2
2875	1
2877	1
2881	1
2888	1
2892	1
2893	1
2894	1
2895	1
2900	1
2902	1
2912	1
2914	1
2916	1
2918	1
2923	1
2927	1
2929	1
2930	1
2932	1
2935	1
2941	1
2944	2
2946	2
2955	1
2968	1
2969	2
2972	1
2980	1
2982	1
2984	1
2987	2
2988	2
2989	1
2992	2
2998	1
3000	1
3002	1
3003	1
3005	1
3009	2
3048	1
3052	1
3056	1
3058	1
3066	3
3069	1
3074	1
3075	2
3076	1
3085	1
3088	1
3089	1
3091	3
3098	2
3100	1
3101	1
3104	1
3105	1
3106	1
3107	1
3111	1
3114	1
3116	1
3117	2
3118	1
3119	1
3121	1
3122	1
3123	2
3126	1
3127	2
3129	1
3130	1
3134	2
3135	1
3136	1
3139	1
3140	1
3141	1
3142	1
3143	1
3144	1
3150	1
3153	1
3155	1
3157	1
3158	1
3162	1
3164	2
3165	1
3168	1
3171	1
3173	1
3175	1
3181	1
3182	1
3183	1
3188	1
3189	1
3195	1
3202	2
3206	1
3207	1
3217	1
3226	1
3229	1
3245	1
3252	1
3253	1
3258	1
3259	1
3260	1
3261	1
3270	1
3271	2
3281	1
3298	1
3313	1
3314	1
3326	1
3331	1
3337	1
3352	1
3354	1
3358	1
3359	2
3360	1
3365	1
3368	1
3372	2
